crid, officer_id
1022797,1
1022797,2
1022797,3
1022797,4
1022797,5
1022797,6
1022797,7
1022797,8
1022845,9
1022845,10
1022870,11
1022871,12
1022871,13
1022871,14
1022871,15
1022871,16
1022875,17
1022875,18
1022890,19
1022899,20
1022899,21
1022909,22
1022909,23
1022909,24
1022909,25
1022909,26
1022909,27
1022909,28
1022909,29
1022909,30
1022909,31
1022909,32
1022909,33
1022909,34
1022913,35
1022913,36
1022913,37
1022944,38
1022944,39
1022944,40
1022944,41
1022950,42
1022974,43
1022974,44
1022988,45
1022988,46
1022990,47
1023009,48
1023020,49
1023020,50
1023022,51
1023022,52
1023022,53
1023041,45
1023041,46
1023043,3
1023043,6
1023043,54
1023043,55
1023048,56
1023048,57
1023079,58
1023079,59
1023079,60
1023079,61
1023085,62
1023085,63
1023101,64
1023141,65
1023141,66
1023175,67
1023175,68
1023183,69
1023183,70
1023196,71
1023196,72
1023208,73
1023236,74
1023236,75
1023239,48
1023239,76
1023239,77
1023246,78
1023246,79
1023247,80
1023247,15
1023250,80
1023250,15
1023254,81
1023254,82
1023268,83
1023268,84
1023273,85
1023273,86
1023273,87
1023273,88
1023273,89
1023273,90
1023273,91
1023273,92
1023273,93
1023273,94
1023273,95
1023273,96
1023280,97
1023280,98
1023301,99
1023308,100
1023308,101
1023315,102
1023329,9
1023329,103
1023352,104
1023352,105
1023352,106
1023357,107
1023357,108
1023357,109
1023357,110
1023357,111
1023357,70
1023357,112
1023357,113
1023357,114
1023357,115
1023357,116
1023357,117
1023357,118
1023357,119
1023405,49
1023405,50
1023422,104
1023422,120
1023422,121
1023422,122
1023422,123
1023422,124
1023422,125
1023434,126
1023434,127
1023434,128
1023434,129
1023434,130
1023434,131
1023434,132
1023435,133
1023435,134
1023435,135
1023435,136
1023435,137
1023435,138
1023435,139
1023435,140
1023435,141
1023438,142
1023438,132
1023450,143
1023450,144
1023450,145
1023450,146
1023450,147
1023450,148
1023450,149
1023450,150
1023450,151
1023450,152
1023450,153
1023450,154
1023450,155
1023450,156
1023458,157
1023472,158
1023472,159
1023472,160
1023472,161
1023484,162
1023484,163
1023490,164
1023490,36
1023494,165
1023494,166
1023505,167
1023505,168
1023510,169
1023514,170
1023514,171
1023514,172
1023514,43
1023514,44
1023514,173
1023547,174
1023547,35
1023547,175
1023561,121
1023561,125
1023578,176
1023578,177
1023578,178
1023578,179
1023578,180
1023578,181
1023578,182
1023578,183
1023578,184
1023578,185
1023578,186
1023578,187
1023578,188
1023578,189
1023578,190
1023622,191
1023622,192
1023625,193
1023633,127
1023633,194
1023633,131
1023645,195
1023645,196
1023645,197
1023645,198
1023645,199
1023645,200
1023645,201
1023645,202
1023645,203
1023645,204
1023645,205
1023645,206
1023675,207
1023699,208
1023699,63
1023714,209
1023714,210
1023714,211
1023714,212
1023714,125
1023735,213
1023736,45
1023761,214
1023761,215
1023771,216
1023771,217
1023772,218
1023778,71
1023778,72
1023795,219
1023795,220
1023795,221
1023811,45
1023815,126
1023815,222
1023815,223
1023815,224
1023815,130
1023815,194
1023815,142
1023815,225
1023815,131
1023815,226
1023815,227
1023835,228
1023835,229
1023835,230
1023835,231
1023835,232
1023835,233
